
ben_afflek, 10:13:51
mindy_kaling, 10:14:09
unknown0, 10:14:57
unknown1, 10:15:04
unknown2, 10:15:10
unknown3, 10:15:13
unknown4, 10:15:26
unknown5, 10:15:29
unknown6, 10:15:33
elton_john, 10:27:26
unknown7, 10:29:49
unknown8, 10:29:57
unknown9, 10:30:01
unknown10, 10:30:04
unknown11, 10:30:32
unknown12, 10:30:46
unknown13, 10:30:48
unknown14, 10:30:51
unknown15, 10:30:56
unknown16, 10:31:00
unknown17, 10:31:03
unknown18, 10:31:06
unknown19, 10:31:08
unknown20, 10:31:11
unknown21, 10:31:15
unknown22, 10:31:18
unknown23, 10:31:20
unknown24, 10:31:21
unknown25, 10:31:24
unknown26, 10:31:26
unknown27, 10:31:30
unknown28, 10:31:33
unknown29, 10:31:36
unknown30, 10:31:38
unknown31, 10:31:58
unknown32, 10:32:19
unknown33, 10:32:21
unknown34, 10:32:51
unknown35, 10:32:54
unknown36, 10:32:56
unknown37, 10:33:03
unknown38, 10:33:59
unknown39, 10:34:04
